"","participant","question","language","trash","consonant","vot"
"1",1,1,"L1","vot","p",8.61084255265229
"2",1,1,"L2","vot","p",-18.467728948409
"3",1,1,"L3","vot","p",5.38779811582422
"4",1,2,"L1","vot","p",26.4337608454447
"5",1,2,"L2","vot","p",3.27791828179538
"6",1,2,"L3","vot","p",16.2303339698844
"7",1,3,"L1","vot","p",17.9119924843883
"8",1,3,"L2","vot","p",31.638726842008
"9",1,3,"L3","vot","p",69.2935518657106
"10",1,4,"L1","vot","p",30.9462157446011
"11",1,4,"L2","vot","p",35.9450323824208
"12",1,4,"L3","vot","p",17.2424341036595
"13",1,5,"L1","vot","p",24.4145773749992
"14",1,5,"L2","vot","p",59.0993709960191
"15",1,5,"L3","vot","p",59.304631360381
"16",1,6,"L1","vot","p",7.2511931204815
"17",1,6,"L2","vot","p",43.6828192131187
"18",1,6,"L3","vot","p",49.7853883860732
"19",1,7,"L1","vot","p",7.34327018715117
"20",1,7,"L2","vot","p",16.6842810675625
"21",1,7,"L3","vot","p",57.3563722555893
"22",1,8,"L1","vot","p",6.34686003701114
"23",1,8,"L2","vot","p",102.567880848641
"24",1,8,"L3","vot","p",-8.96615864784347
"25",2,1,"L1","vot","p",16.9013111091108
"26",2,1,"L2","vot","p",55.3190657017321
"27",2,1,"L3","vot","p",14.283399593334
"28",2,2,"L1","vot","p",13.9914660115606
"29",2,2,"L2","vot","p",48.1191217894885
"30",2,2,"L3","vot","p",54.8593580481255
"31",2,3,"L1","vot","p",30.5428650629178
"32",2,3,"L2","vot","p",32.5724936422005
"33",2,3,"L3","vot","p",46.8788153650639
"34",2,4,"L1","vot","p",16.3489715382646
"35",2,4,"L2","vot","p",34.3557754667889
"36",2,4,"L3","vot","p",-10.3615039945205
"37",2,5,"L1","vot","p",22.9698850052515
"38",2,5,"L2","vot","p",-9.62496709335634
"39",2,5,"L3","vot","p",84.8053224042871
"40",2,6,"L1","vot","p",7.40277920468078
"41",2,6,"L2","vot","p",19.6229714183806
"42",2,6,"L3","vot","p",45.3199642617143
"43",2,7,"L1","vot","p",27.3692048447855
"44",2,7,"L2","vot","p",46.0822848755498
"45",2,7,"L3","vot","p",63.3999076775297
"46",2,8,"L1","vot","p",14.2124899507883
"47",2,8,"L2","vot","p",9.79000943382738
"48",2,8,"L3","vot","p",46.1816378409143
"49",3,1,"L1","vot","p",13.4550819895836
"50",3,1,"L2","vot","p",-4.35143064691919
"51",3,1,"L3","vot","p",29.6690664973712
"52",3,2,"L1","vot","p",6.65680736975156
"53",3,2,"L2","vot","p",11.984152976278
"54",3,2,"L3","vot","p",43.2679929279474
"55",3,3,"L1","vot","p",13.1479795145289
"56",3,3,"L2","vot","p",2.58350070409147
"57",3,3,"L3","vot","p",27.8634177192975
"58",3,4,"L1","vot","p",23.7451489114631
"59",3,4,"L2","vot","p",46.843017051957
"60",3,4,"L3","vot","p",-7.04591264861553
"61",3,5,"L1","vot","p",6.14786154302086
"62",3,5,"L2","vot","p",-0.00103494842357321
"63",3,5,"L3","vot","p",44.1177060606933
"64",3,6,"L1","vot","p",24.4227264698822
"65",3,6,"L2","vot","p",52.8198165332092
"66",3,6,"L3","vot","p",16.5350803702087
"67",3,7,"L1","vot","p",9.37890885963439
"68",3,7,"L2","vot","p",76.6611073505591
"69",3,7,"L3","vot","p",66.2818256454167
"70",3,8,"L1","vot","p",21.8412101016751
"71",3,8,"L2","vot","p",25.8344766664028
"72",3,8,"L3","vot","p",46.139489738353
"73",4,1,"L1","vot","p",25.6269810056951
"74",4,1,"L2","vot","p",29.2477047595881
"75",4,1,"L3","vot","p",38.0359630240635
"76",4,2,"L1","vot","p",12.9190264099051
"77",4,2,"L2","vot","p",40.0181631193712
"78",4,2,"L3","vot","p",81.9838005809124
"79",4,3,"L1","vot","p",13.6497140842009
"80",4,3,"L2","vot","p",43.9903798021387
"81",4,3,"L3","vot","p",47.1909635527518
"82",4,4,"L1","vot","p",11.564006658182
"83",4,4,"L2","vot","p",72.8610593578291
"84",4,4,"L3","vot","p",20.8885878587121
"85",4,5,"L1","vot","p",-1.93579863660232
"86",4,5,"L2","vot","p",23.6069574746488
"87",4,5,"L3","vot","p",49.7440697732598
"88",4,6,"L1","vot","p",29.9226768021052
"89",4,6,"L2","vot","p",87.1552751688285
"90",4,6,"L3","vot","p",22.0091416422663
"91",4,7,"L1","vot","p",20.8411416601551
"92",4,7,"L2","vot","p",35.5859246688807
"93",4,7,"L3","vot","p",50.1231575694842
"94",4,8,"L1","vot","p",19.6078537846804
"95",4,8,"L2","vot","p",36.2340011578196
"96",4,8,"L3","vot","p",37.6812355856567
"97",5,1,"L1","vot","p",11.8321064170382
"98",5,1,"L2","vot","p",35.7696190613531
"99",5,1,"L3","vot","p",28.0031484752523
"100",5,2,"L1","vot","p",30.1794608071448
"101",5,2,"L2","vot","p",33.6255140043267
"102",5,2,"L3","vot","p",33.8333228933514
"103",5,3,"L1","vot","p",17.9036757924721
"104",5,3,"L2","vot","p",38.2399332642159
"105",5,3,"L3","vot","p",33.207593636271
"106",5,4,"L1","vot","p",18.34288650428
"107",5,4,"L2","vot","p",-1.08537214467137
"108",5,4,"L3","vot","p",-3.73778161640193
"109",5,5,"L1","vot","p",17.4277536803104
"110",5,5,"L2","vot","p",7.58929362749149
"111",5,5,"L3","vot","p",68.7821923667196
"112",5,6,"L1","vot","p",14.4150208136161
"113",5,6,"L2","vot","p",55.4615924427412
"114",5,6,"L3","vot","p",24.3191740149667
"115",5,7,"L1","vot","p",11.4084440168119
"116",5,7,"L2","vot","p",46.4851311534663
"117",5,7,"L3","vot","p",9.24090818816496
"118",5,8,"L1","vot","p",9.20038826155687
"119",5,8,"L2","vot","p",59.4239150288601
"120",5,8,"L3","vot","p",40.4951806136737
"121",6,1,"L1","vot","p",13.5861387807054
"122",6,1,"L2","vot","p",83.0659139921436
"123",6,1,"L3","vot","p",49.4568665230188
"124",6,2,"L1","vot","p",28.3029730255533
"125",6,2,"L2","vot","p",85.5462002516602
"126",6,2,"L3","vot","p",67.7518225146612
"127",6,3,"L1","vot","p",27.3018079926434
"128",6,3,"L2","vot","p",27.4886244172781
"129",6,3,"L3","vot","p",15.9663399538945
"130",6,4,"L1","vot","p",20.011504158765
"131",6,4,"L2","vot","p",26.6591045774704
"132",6,4,"L3","vot","p",56.1368830889234
"133",6,5,"L1","vot","p",5.37174796681261
"134",6,5,"L2","vot","p",53.8080604584834
"135",6,5,"L3","vot","p",35.2351701901758
"136",6,6,"L1","vot","p",19.989862269456
"137",6,6,"L2","vot","p",23.09855367182
"138",6,6,"L3","vot","p",8.03359139602872
"139",6,7,"L1","vot","p",6.51626704997724
"140",6,7,"L2","vot","p",17.8411172346416
"141",6,7,"L3","vot","p",14.8354752790366
"142",6,8,"L1","vot","p",2.65072265973398
"143",6,8,"L2","vot","p",48.0355042308319
"144",6,8,"L3","vot","p",55.2664873156132
"145",7,1,"L1","vot","p",17.6694087923745
"146",7,1,"L2","vot","p",65.2114246322444
"147",7,1,"L3","vot","p",54.9189567501133
"148",7,2,"L1","vot","p",16.6525969611102
"149",7,2,"L2","vot","p",51.4354300920813
"150",7,2,"L3","vot","p",36.5526815793394
"151",7,3,"L1","vot","p",13.9873135544118
"152",7,3,"L2","vot","p",15.0382812001952
"153",7,3,"L3","vot","p",69.9054189640835
"154",7,4,"L1","vot","p",5.7155252503371
"155",7,4,"L2","vot","p",20.443171592742
"156",7,4,"L3","vot","p",55.1473699150744
"157",7,5,"L1","vot","p",12.188448426246
"158",7,5,"L2","vot","p",21.8045911698745
"159",7,5,"L3","vot","p",31.9267810611874
"160",7,6,"L1","vot","p",-0.265955880555355
"161",7,6,"L2","vot","p",42.4943814049856
"162",7,6,"L3","vot","p",31.5204707368042
"163",7,7,"L1","vot","p",19.5434012896427
"164",7,7,"L2","vot","p",28.4762152435354
"165",7,7,"L3","vot","p",22.6768527026687
"166",7,8,"L1","vot","p",3.83794983799343
"167",7,8,"L2","vot","p",23.7652730043851
"168",7,8,"L3","vot","p",40.927028023726
"169",8,1,"L1","vot","p",25.1610502810032
"170",8,1,"L2","vot","p",44.899739396289
"171",8,1,"L3","vot","p",38.8982906377204
"172",8,2,"L1","vot","p",3.37680098471335
"173",8,2,"L2","vot","p",30.845107150721
"174",8,2,"L3","vot","p",39.698325121413
"175",8,3,"L1","vot","p",26.1333647895997
"176",8,3,"L2","vot","p",25.0316669052388
"177",8,3,"L3","vot","p",85.7565756348024
"178",8,4,"L1","vot","p",24.6624939741676
"179",8,4,"L2","vot","p",52.2898367690794
"180",8,4,"L3","vot","p",34.9361858898241
"181",8,5,"L1","vot","p",-0.855465710214339
"182",8,5,"L2","vot","p",19.1356715504654
"183",8,5,"L3","vot","p",60.6553330484992
