"","X","f1","f2","participant","question","language","vowel","logf1","logf2"
"1",1,758.592230500987,1290.10901134589,1,1,"l1","a",6.63146438731069,7.16248199870467
"2",2,897.498759082859,1210.49574538981,1,2,"l1","a",6.799611737724,7.09878526161755
"3",3,999.526195518219,1048.84826437792,1,3,"l1","a",6.90728136221955,6.95544795005764
"4",4,988.847003276563,1280.22609191594,1,4,"l1","a",6.89653962124978,7.15479197562499
"5",5,938.196645840019,1244.63489752725,2,1,"l1","a",6.84395957078673,7.12659751089296
"6",6,636.103442557541,1342.93877593559,2,2,"l1","a",6.4553611956455,7.20261560794544
"7",7,704.433655796185,1123.54811689375,2,3,"l1","a",6.55739415486195,7.0242469183841
"8",8,989.276839494994,1333.67820158772,2,4,"l1","a",6.8969742110524,7.19569596918026
"9",9,777.712476470984,1397.72502499016,3,1,"l1","a",6.65635688835347,7.24260121173794
"10",10,531.49693694259,1253.18553534876,3,2,"l1","a",6.27569743472229,7.1334440168384
"11",11,730.514707053258,1088.77212730959,3,3,"l1","a",6.59374936384676,6.99280585155109
"12",12,1054.78618825148,1363.82183246452,3,4,"l1","a",6.96109336020633,7.21804620851137
"13",13,517.774102211857,1192.31240341027,4,1,"l1","a",6.24953905102581,7.08364989668532
"14",14,1036.1816886559,1029.08899501043,4,2,"l1","a",6.94329778259348,6.93642921898488
"15",15,683.662794084613,1202.38414237984,4,3,"l1","a",6.52746480495811,7.09206165004494
"16",16,906.585279414055,1272.90883384271,4,4,"l1","a",6.80968510124064,7.14905998078687
"17",17,784.011160277865,1252.36900148883,5,1,"l1","a",6.66442325529739,7.13279223785947
"18",18,768.105002131827,1301.68142702203,5,2,"l1","a",6.64392644532795,7.17141211312297
"19",19,780.420836425444,1106.25063727568,5,3,"l1","a",6.65983330806634,7.00873177239038
"20",20,561.406599024923,1430.2386376311,5,4,"l1","a",6.33044541844531,7.26559658879343
"21",21,820.571408838594,983.311110203527,6,1,"l1","a",6.71000093762507,6.89092556061735
"22",22,744.418151362683,1153.12096822051,6,2,"l1","a",6.61260290835405,7.05022743082865
"23",23,997.41687106837,1216.24780619911,6,3,"l1","a",6.90516880801646,7.10352582975685
"24",24,769.532157109275,1097.75958464471,6,4,"l1","a",6.64578274202146,7.0010266405763
"25",25,959.788696883348,1259.86100470862,7,1,"l1","a",6.86671315282151,7.1387566801372
"26",26,897.235081812707,1122.33213341408,7,2,"l1","a",6.79931790332244,7.02316406136327
"27",27,476.050187189818,1117.67882691298,7,3,"l1","a",6.16552328394624,7.01900933776844
"28",28,720.347787950332,1227.57242219852,7,4,"l1","a",6.57973413420431,7.11279385768266
"29",29,966.897932661699,1338.86158813314,8,1,"l1","a",6.87409293937748,7.19957497076874
"30",30,718.04690442769,1356.09564833555,8,2,"l1","a",6.5765348934155,7.21236500313333
"31",31,631.392321356054,1264.0048557835,8,3,"l1","a",6.44792741475133,7.1420404163003
