"","word","participant","language","l1","step","u0s","b0","u0p","logodds","probability","response"
"1",1,"1","french","english",1,-0.0454978233338815,-2.19722457733622,-0.308797907482023,-2.55152030815212,0.0723244160765577,1
"2",2,"1","french","english",1,0.0638194868742747,-2.19722457733622,-0.308797907482023,-2.44220299794397,0.0800106017958423,0
"3",3,"1","french","english",1,-0.133739075961057,-2.19722457733622,-0.308797907482023,-2.6397615607793,0.0666228612084654,0
"4",4,"1","french","english",1,0.680551477025408,-2.19722457733622,-0.308797907482023,-1.82547100779284,0.138778689510852,0
"5",5,"1","french","english",1,-0.16058589878316,-2.19722457733622,-0.308797907482023,-2.6666083836014,0.0649727098083543,0
"6",6,"1","french","english",1,-0.622485582574923,-2.19722457733622,-0.308797907482023,-3.12850806739317,0.0419465224145123,0
"7",7,"1","french","english",1,0.483746654825741,-2.19722457733622,-0.308797907482023,-2.0222758299925,0.11688387017964,0
"8",8,"1","french","english",1,-0.376889218093206,-2.19722457733622,-0.308797907482023,-2.88291170291145,0.053004792276701,0
"9",9,"1","french","english",1,-0.625853798806966,-2.19722457733622,-0.308797907482023,-3.13187628362521,0.0418113725096566,0
"10",10,"1","french","english",1,0.0295640770113542,-2.19722457733622,-0.308797907482023,-2.47645840780689,0.0775251002984592,0
"11",1,"2","french","english",1,-0.0454978233338815,-2.19722457733622,-0.281121663436363,-2.52384406410646,0.0742034357746905,0
"12",2,"2","french","english",1,0.0638194868742747,-2.19722457733622,-0.281121663436363,-2.41452675389831,0.0820716452793825,0
"13",3,"2","french","english",1,-0.133739075961057,-2.19722457733622,-0.281121663436363,-2.61208531673364,0.0683646683339181,0
"14",4,"2","french","english",1,0.680551477025408,-2.19722457733622,-0.281121663436363,-1.79779476374717,0.14211971892961,0
"15",5,"2","french","english",1,-0.16058589878316,-2.19722457733622,-0.281121663436363,-2.63893213955574,0.066674456692961,1
"16",6,"2","french","english",1,-0.622485582574923,-2.19722457733622,-0.281121663436363,-3.10083182334751,0.0430729560809923,0
"17",7,"2","french","english",1,0.483746654825741,-2.19722457733622,-0.281121663436363,-1.99459958594684,0.119771097907399,0
"18",8,"2","french","english",1,-0.376889218093206,-2.19722457733622,-0.281121663436363,-2.85523545886579,0.0544113197957075,0
"19",9,"2","french","english",1,-0.625853798806966,-2.19722457733622,-0.281121663436363,-3.10420003957955,0.0429343394998378,0
"20",10,"2","french","english",1,0.0295640770113542,-2.19722457733622,-0.281121663436363,-2.44878216376123,0.0795276528185702,0
"21",1,"3","french","english",1,-0.0454978233338815,-2.19722457733622,0.645745002915629,-1.59697739775447,0.168404489275101,0
"22",2,"3","french","english",1,0.0638194868742747,-2.19722457733622,0.645745002915629,-1.48766008754632,0.184273195252852,1
"23",3,"3","french","english",1,-0.133739075961057,-2.19722457733622,0.645745002915629,-1.68521865038165,0.156405669519001,0
"24",4,"3","french","english",1,0.680551477025408,-2.19722457733622,0.645745002915629,-0.870928097395183,0.29506122094307,1
"25",5,"3","french","english",1,-0.16058589878316,-2.19722457733622,0.645745002915629,-1.71206547320375,0.152896006283209,0
"26",6,"3","french","english",1,-0.622485582574923,-2.19722457733622,0.645745002915629,-2.17396515699551,0.102112910604717,0
"27",7,"3","french","english",1,0.483746654825741,-2.19722457733622,0.645745002915629,-1.06773291959485,0.255834459199714,1
"28",8,"3","french","english",1,-0.376889218093206,-2.19722457733622,0.645745002915629,-1.9283687925138,0.12693124006586,0
"29",9,"3","french","english",1,-0.625853798806966,-2.19722457733622,0.645745002915629,-2.17733337322756,0.101804506394593,1
"30",10,"3","french","english",1,0.0295640770113542,-2.19722457733622,0.645745002915629,-1.52191549740924,0.179179625844577,0
"31",1,"4","french","english",1,-0.0454978233338815,-2.19722457733622,-0.671967082822421,-2.91468948349252,0.0514321682471659,0
"32",2,"4","french","english",1,0.0638194868742747,-2.19722457733622,-0.671967082822421,-2.80537217328437,0.0570345632159287,0
"33",3,"4","french","english",1,-0.133739075961057,-2.19722457733622,-0.671967082822421,-3.0029307361197,0.0472936477842698,0
"34",4,"4","french","english",1,0.680551477025408,-2.19722457733622,-0.671967082822421,-2.18864018313323,0.100775252747536,0
"35",5,"4","french","english",1,-0.16058589878316,-2.19722457733622,-0.671967082822421,-3.0297775589418,0.0460986075673799,1
"36",6,"4","french","english",1,-0.622485582574923,-2.19722457733622,-0.671967082822421,-3.49167724273356,0.029549968308171,0
"37",7,"4","french","english",1,0.483746654825741,-2.19722457733622,-0.671967082822421,-2.3854450053329,0.0842893424862629,0
"38",8,"4","french","english",1,-0.376889218093206,-2.19722457733622,-0.671967082822421,-3.24608087825185,0.0374679711041088,0
"39",9,"4","french","english",1,-0.625853798806966,-2.19722457733622,-0.671967082822421,-3.49504545896561,0.0294535316562989,0
"40",10,"4","french","english",1,0.0295640770113542,-2.19722457733622,-0.671967082822421,-2.83962758314729,0.05521996382004,0
"41",1,"5","french","english",1,-0.0454978233338815,-2.19722457733622,-0.637081040543536,-2.87980344121364,0.0531610293027278,0
"42",2,"5","french","english",1,0.0638194868742747,-2.19722457733622,-0.637081040543536,-2.77048613100548,0.0589400438843872,0
"43",3,"5","french","english",1,-0.133739075961057,-2.19722457733622,-0.637081040543536,-2.96804469384081,0.0488905651214372,0
"44",4,"5","french","english",1,0.680551477025408,-2.19722457733622,-0.637081040543536,-2.15375414085435,0.103980933580757,0
"45",5,"5","french","english",1,-0.16058589878316,-2.19722457733622,-0.637081040543536,-2.99489151666292,0.0476571916888289,0
"46",6,"5","french","english",1,-0.622485582574923,-2.19722457733622,-0.637081040543536,-3.45679120045468,0.0305669753572596,0
"47",7,"5","french","english",1,0.483746654825741,-2.19722457733622,-0.637081040543536,-2.35055896305402,0.0870213533347324,1
