"","stim","resp","language","response","rating","rating_sd","phoneme","frame"
"1","stim/f_schwa_g.wav","fin","span",1,3.102857143,NA,"schwa","fricative"
"2","stim/f_schwa_g.wav","fool","eng",16,3.5114457508125,0.650309213812871,"schwa","fricative"
"3","stim/f_schwa_g.wav","fought","eng",39,2.92072963166667,1.31860900720447,"schwa","fricative"
"4","stim/f_schwa_g.wav","fun","eng",97,3.3618880215567,1.03550184951162,"schwa","fricative"
"5","stim/f_schwa_g.wav","son","span",6,3.16282813633333,1.43458722435589,"schwa","fricative"
"6","stim/f_schwa_g.wav","su","span",10,2.9902797619,1.30540703618055,"schwa","fricative"
"7","stim/feuf_g.wav","feel","eng",6,1.7530902775,0.574057684520486,"y","fricative"
"8","stim/feuf_g.wav","fin","span",1,4.003677576,NA,"y","fricative"
"9","stim/feuf_g.wav","fool","eng",66,3.30895232901515,0.720710335431409,"y","fricative"
"10","stim/feuf_g.wav","fought","eng",7,2.53779442228571,0.605093163683127,"y","fricative"
"11","stim/feuf_g.wav","fun","eng",2,3.44953715,0.616099679130454,"y","fricative"
"12","stim/feuf_g.wav","son","span",1,4.951851739,NA,"y","fricative"
"13","stim/feuf_g.wav","su","span",52,3.41549156467308,0.890188954552711,"y","fricative"
"14","stim/fief_g.wav","feel","eng",67,3.45366062561194,0.969239786620538,"i","fricative"
"15","stim/fief_g.wav","fin","span",62,3.84197875037097,0.882124456002483,"i","fricative"
"16","stim/fief_g.wav","fool","eng",1,4.04811585,NA,"i","fricative"
"17","stim/fief_g.wav","fought","eng",2,2.9492195635,1.44919946571642,"i","fricative"
"18","stim/fief_g.wav","fun","eng",2,1.8385416665,0.98700321517052,"i","fricative"
"19","stim/fief_g.wav","su","span",1,1.206787807,NA,"i","fricative"
"20","stim/fof_g.wav","feel","eng",1,1.985365854,NA,"o","fricative"
"21","stim/fof_g.wav","fool","eng",69,3.4933569316087,0.893260833200911,"o","fricative"
"22","stim/fof_g.wav","fought","eng",53,3.34672316686792,0.766207408453753,"o","fricative"
"23","stim/fof_g.wav","fun","eng",9,3.29068738388889,0.843369305396602,"o","fricative"
"24","stim/fof_g.wav","son","span",16,3.3954607835,0.805303484101494,"o","fricative"
"25","stim/fof_g.wav","su","span",20,3.2586157547,0.892035110726149,"o","fricative"
"26","stim/p_schwa_g.wav","fool","eng",11,3.11011161736364,1.18901835602413,"schwa","bilabial"
"27","stim/p_schwa_g.wav","fought","eng",29,2.77702356682759,1.33481866849283,"schwa","bilabial"
"28","stim/p_schwa_g.wav","fun","eng",95,3.27681454882105,1.10615169952215,"schwa","bilabial"
"29","stim/p_schwa_g.wav","son","span",17,3.37280150517647,1.00485164244315,"schwa","bilabial"
"30","stim/p_schwa_g.wav","su","span",16,3.2608051926875,1.12103262925739,"schwa","bilabial"
"31","stim/peuf_g.wav","feel","eng",2,1.4895238095,0.562991685402852,"y","bilabial"
"32","stim/peuf_g.wav","fool","eng",62,3.17754866767742,0.921638243005452,"y","bilabial"
"33","stim/peuf_g.wav","fought","eng",1,1.270833333,NA,"y","bilabial"
"34","stim/peuf_g.wav","fun","eng",4,2.990104987,0.676731152182482,"y","bilabial"
"35","stim/peuf_g.wav","son","span",2,3.190914408,1.1023173525391,"y","bilabial"
"36","stim/peuf_g.wav","su","span",64,3.2315402834375,0.819677684196418,"y","bilabial"
"37","stim/pief_g.wav","feel","eng",75,3.31110340810667,1.1318991856368,"i","bilabial"
"38","stim/pief_g.wav","fin","span",59,3.68569326622034,0.979408285368425,"i","bilabial"
"39","stim/pief_g.wav","fool","eng",1,1,NA,"i","bilabial"
"40","stim/pof_g.wav","feel","eng",1,2.007407407,NA,"o","bilabial"
"41","stim/pof_g.wav","fin","span",1,3.977790779,NA,"o","bilabial"
"42","stim/pof_g.wav","fool","eng",60,3.32283858655,0.763812943376871,"o","bilabial"
"43","stim/pof_g.wav","fought","eng",50,2.89311198458,0.949671463633377,"o","bilabial"
"44","stim/pof_g.wav","fun","eng",24,3.005729953375,0.77767837769542,"o","bilabial"
"45","stim/pof_g.wav","son","span",11,3.14915327454545,0.982758225426925,"o","bilabial"
"46","stim/pof_g.wav","su","span",22,3.13073270222727,0.945300472233294,"o","bilabial"
